spectrum_key	peptide_key	number_of_nodes	number_of_edges
8346079174197888067	1526271875777244526	9	8
8589761487875454853	-8546626484350481403	10	9
8726775603166640253	-1245983525525651137	12	25
5219925677307130654	1526271875777244526	9	8
2722422486225347296	1526271875777244526	9	8
-2685168634076279746	4530625241604008029	16	60
8346077734159933121	1526271875777244526	9	8
8308023956616479510	1526271875777244526	9	8
-7584198278812889002	1807690957368059848	14	33
2821884527628155982	1526271875777244526	9	8
6627537322068124799	8123358751276629834	12	26
-2363724683580542068	-3855604382815201999	15	51
-3890386021042264016	-8546626484350481403	10	9
-7221566516083633490	-2502103907318661911	13	35
7671565952719980584	7326875935706676482	11	17
654508103198088984	-7229122234444738036	9	8
660266807891329358	-6188816532915686489	17	68
5502723897430488350	7405362093748044992	11	16
-8374376914863795965	-2502103907318661911	13	35
-8374374098285868159	8287745378248553789	14	43
5503786553610152776	6703988564554266031	14	44
6590131156650011984	-6496097466802080650	17	60
-654863111767630557	7326875935706676482	11	17
-6591099543058095694	8894958806318637824	13	38
-9151110179148564545	3570439050552151534	12	27
3313683190753427348	1526271875777244526	9	8
686749590686365749	3911317517361566372	10	16
686746913734582967	4530625241604008029	16	60
6590132871533705170	-7173683247164420531	11	18
-4235623524541122909	7326875935706676482	11	17
2515803362578667568	3638223601223034503	13	38
689847826485015549	4885281803576604551	15	52
8321903679837775802	1526271875777244526	9	8
655535028530882018	4885281803576604551	15	52
-5543155684576668545	3464211861741338456	13	34
8170191698462119668	3570439050552151534	12	27
-6866046552629144389	-5711997489788294977	15	51
8764240119325788878	-8546626484350481403	10	9
-3033292390688100266	8287745378248553789	14	43
-6590420026361357496	6703988564554266031	14	44
8170191351490645110	-7335144685615329525	16	52
8762931181126718616	-4398831889079108711	13	25
-5548291878564798127	3464211861741338456	13	34
-7185762942225040856	3464211861741338456	13	34
-2859682995961937405	1526271875777244526	9	8
-864958080819461728	-2502103907318661911	13	35
-4725276148970662213	-7173683247164420531	11	18
6466488933155239976	-5012571972057607984	13	33
4971837008827172741	-8546626484350481403	10	9
-6321952539778958815	2668074036030438672	12	25
-2744506553600237434	-7173683247164420531	11	18
3333723786303764462	8123358751276629834	12	26
2307512041215497741	1526271875777244526	9	8
6234966718950090427	1526271875777244526	9	8
-7818931804910132037	-2502103907318661911	13	35
-649866551549335539	-6496097466802080650	17	60
4650767317309245932	1526271875777244526	9	8
2826881427555567968	-8546626484350481403	10	9
3333727699940699500	-3855604382815201999	15	51
-878661805808311028	3464211861741338456	13	34
-652037735303002461	-8546626484350481403	10	9
-2749204168645442518	1526271875777244526	9	8
4200916067203942453	-7229122234444738036	9	8
-868447948697814182	3570439050552151534	12	27
6623667760996585809	-7173683247164420531	11	18
-8076249286817229758	1526271875777244526	9	8
5215913940059407920	1526271875777244526	9	8
-2746026095056184708	-5263541596043657139	14	34
2726292387756529614	3911317517361566372	10	16
4200914345876755127	1526271875777244526	9	8
-2368862324846967134	2668074036030438672	12	25
3327510992739156899	8287745378248553789	14	43
-9017185671585508272	4530625241604008029	16	60
2721843971849320434	4885281803576604551	15	52
-5939386254899577245	-8546626484350481403	10	9
-3367592214150601134	-7173683247164420531	11	18
8590305025040261783	8124257509195293846	13	34
2311964167640167985	1526271875777244526	9	8
-7225668807997008627	3570439050552151534	12	27
-8071799904809749378	8123358751276629834	12	26
4579217122020288970	1526271875777244526	9	8
-7823385718308584313	5753763298208735006	12	26
4579217462512874312	1526271875777244526	9	8
3853710704743830524	3911317517361566372	10	16
491960283904712895	3464211861741338456	13	34
8074679687380330412	-5629245545953995641	17	67
5005875203847360099	-8546626484350481403	10	9
7671023172509605178	3570439050552151534	12	27
5594215406269376463	1112904603126947596	13	34
-5936125087587810151	-3941091501782775424	12	17
-3354416246289464578	3464211861741338456	13	34
-3890968247234462430	4530625241604008029	16	60
-3364678490338452312	8123358751276629834	12	26
-7389099402734889717	1526271875777244526	9	8
8108895177207679817	-2807844156739947030	15	52
-6866593662179212887	5753763298208735006	12	26
-2525623374521766009	4885281803576604551	15	52
-7239514359653240415	3570439050552151534	12	27
5058912993874025837	3570439050552151534	12	27
-2481379880449793028	1526271875777244526	9	8
494939944572787269	6550796982592730576	14	43
5058911412098140143	2668074036030438672	12	25
2520255493565691916	7326875935706676482	11	17
-5547709515893869501	7326875935706676482	11	17
496130222082294803	-2502103907318661911	13	35
3675997021531293651	7326875935706676482	11	17
-8073970952327963952	3464211861741338456	13	34
-4275735007169803719	2491998502196946225	14	42
888009173122224642	1526271875777244526	9	8
-6688841473285784572	-8546626484350481403	10	9
-7392969303122468827	1526271875777244526	9	8
3826017612808114367	-2502103907318661911	13	35
6467036111428709690	3570439050552151534	12	27
-6648337474065346483	7326875935706676482	11	17
-6870604236800445305	5753763298208735006	12	26
7669340671541610170	3570439050552151534	12	27
925752440381457437	1526271875777244526	9	8
5598227144676152033	-7229122234444738036	9	8
-3885832052286109684	2668074036030438672	12	25
6623085053642146883	1526271875777244526	9	8
4971289073666380439	7326875935706676482	11	17
3857196398760335338	-2502103907318661911	13	35
2308094267533591327	1526271875777244526	9	8
